City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Lazaro Cardenas,MX,17.9583,-102.2,83.16,75,98,7.4,overcast clouds
223,Mandalgovi,MN,45.7625,106.2708,26.89,38,16,5.77,few clouds
224,Lubango,AO,-14.9172,13.4925,63.41,61,31,2.57,scattered clouds
225,Alpena,US,45.0617,-83.4327,62.92,69,0,6.91,clear sky
226,Macamic,CA,48.7502,-78.9996,58.51,76,78,2.13,broken clouds
227,Rocha,UY,-34.4833,-54.3333,52.3,88,53,7.34,broken clouds
228,Pimentel,PE,-6.8367,-79.9342,64.69,68,20,21.85,few clouds
229,Sinazongwe,ZM,-17.2614,27.4618,77.36,42,0,3.0,clear sky
230,Zarubino,RU,42.63,131.0922,38.84,52,0,11.45,clear sky
231,Vardo,NO,70.3705,31.1107,44.58,87,100,13.8,overcast clouds
232,Saint-Philippe,RE,-21.3585,55.7679,67.59,80,41,11.16,scattered clouds
233,Nuevo Progreso,MX,23.1667,-97.95,79.54,69,90,1.01,overcast clouds
234,Malanje,AO,-9.5402,16.341,68.0,83,91,4.56,overcast clouds
235,Pacific Grove,US,36.6177,-121.9166,81.39,85,75,15.01,broken clouds
236,Airai,TL,-8.9266,125.4092,61.63,88,97,2.19,overcast clouds
237,Sherlovaya Gora,RU,50.5667,116.25,20.79,63,17,4.21,few clouds
238,Buala,SB,-8.145,159.5921,82.67,75,77,11.48,light rain
239,Karasuk,RU,53.7377,78.0403,43.75,54,100,10.11,overcast clouds
240,Amapa,BR,1.0,-52.0,84.52,52,81,5.86,broken clouds
241,Tuatapere,NZ,-46.1333,167.6833,37.67,88,99,19.13,light rain
242,Indianola,US,41.3581,-93.5574,75.96,56,94,10.33,overcast clouds
243,Fairview,US,40.8126,-73.999,56.55,90,100,16.11,mist
244,Hovd,MN,48.0056,91.6419,26.62,34,20,0.4,few clouds
245,Narasannapeta,IN,18.4167,84.05,78.26,90,100,3.98,overcast clouds
246,Barranca,PE,-10.75,-77.7667,62.04,77,22,11.72,few clouds
247,Nabire,ID,-3.3667,135.4833,77.18,86,100,2.55,overcast clouds
248,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,75,5.75,broken clouds
249,Kununurra,AU,-15.7667,128.7333,78.78,83,8,5.75,clear sky
250,Banda Aceh,ID,5.5577,95.3222,74.53,94,100,7.11,light rain
251,Upernavik,GL,72.7868,-56.1549,21.49,81,72,6.22,broken clouds
252,Buraydah,SA,26.326,43.975,81.05,18,0,11.12,clear sky
253,Necochea,AR,-38.5473,-58.7368,57.07,61,27,15.48,scattered clouds
254,Cap Malheureux,MU,-19.9842,57.6142,70.47,72,34,4.0,scattered clouds
255,Pishva,IR,35.308,51.7267,75.0,19,0,1.74,clear sky
256,Ilulissat,GL,69.2167,-51.1,28.42,69,15,2.3,few clouds
257,Derzhavinsk,KZ,51.1,66.3167,40.53,36,1,5.7,clear sky
258,Urumqi,CN,43.801,87.6005,41.95,49,0,4.47,clear sky
259,Avera,US,33.194,-82.5271,75.25,38,0,5.61,clear sky
260,Tvoroyri,FO,61.5556,-6.8111,49.66,78,3,37.92,clear sky
261,Santa Cruz,BO,-17.8,-63.1667,86.05,51,20,16.11,few clouds
262,Zapadnaya Dvina,RU,56.259,32.0745,40.44,95,100,4.34,overcast clouds
263,Montemor-O-Novo,PT,38.6481,-8.2145,66.06,43,0,4.47,clear sky
264,Huanren,CN,41.2647,125.3667,31.35,66,0,3.42,clear sky
265,Olafsvik,IS,64.8945,-23.7142,41.81,90,100,25.68,overcast clouds
266,Fukue,JP,32.6881,128.8419,72.95,79,99,20.94,overcast clouds
267,Mao,ES,39.8885,4.2658,68.56,83,20,4.61,few clouds
268,Ukiah,US,39.1502,-123.2078,90.37,40,0,4.61,clear sky
269,Mangrol,IN,21.1167,70.1167,79.48,79,44,10.09,scattered clouds
270,Taltal,CL,-25.4,-70.4833,57.47,76,21,5.41,few clouds
271,Khorixas,NA,-20.3667,14.9667,68.59,32,0,4.23,clear sky
272,Cairns,AU,-16.9167,145.7667,79.07,84,75,5.75,broken clouds
273,Acarau,BR,-2.8856,-40.12,78.39,78,69,16.42,broken clouds
274,Mehamn,NO,71.0357,27.8492,40.95,87,75,9.22,broken clouds
275,Gamba,GA,-2.65,10.0,75.33,83,37,4.81,scattered clouds
276,Ionia,US,42.9873,-85.0711,72.23,46,0,4.61,clear sky
277,Kemijarvi,FI,66.7131,27.4306,39.27,95,100,3.98,overcast clouds
278,Sao Filipe,CV,14.8961,-24.4956,78.19,78,100,1.59,overcast clouds
279,Nigde,TR,37.8333,34.75,55.69,81,44,2.98,scattered clouds
280,Neiafu,TO,-18.65,-173.9833,83.08,83,75,11.5,broken clouds
281,San Patricio,US,28.017,-97.5169,85.17,37,94,10.47,overcast clouds
282,Dudinka,RU,69.4058,86.1778,33.62,99,100,4.27,light snow
283,Chemainus,CA,48.9163,-123.7194,72.88,69,75,8.05,broken clouds
284,Les Cayes,HT,18.2,-73.75,83.75,75,60,4.85,broken clouds
285,San Francisco,US,37.7749,-122.4194,85.84,79,20,21.85,few clouds
286,Nyurba,RU,63.2842,118.3319,24.51,78,85,7.65,overcast clouds
287,Tilichiki,RU,60.4667,166.1,39.52,98,100,7.74,moderate rain
288,Makaryev,RU,57.8797,43.8069,47.82,84,68,9.98,broken clouds
289,Makakilo City,US,21.3469,-158.0858,86.32,61,75,14.97,broken clouds
290,Tinaquillo,VE,9.9186,-68.3047,82.47,88,98,0.51,overcast clouds
291,Salym,RU,60.0625,71.4789,42.67,92,100,2.77,light rain
